0.736526911472816	0.840073649178506	0.407026519340805	0.539626972965799	-0.0312314464355912	-0.269496345990456	0.984466350395090	0.135115131223728	0.694880165216728	0.648301617743115	0.579419507655696	-0.132457416166795	-0.759986816614622	0.138715848133349	-0.158560382072819	-0.710070680972549	0.522767684799655	-0.902710527362211	0.713938746662289	0.386622960166721	-0.536910964369831	-0.681735332765605	0.174280245959209	-0.0543893216121463	0.852772505616385	0.479597848660102	-0.427321503099694	0.303713301854816	0.581379207264431	0.349381890285416


%% Input 4
0.912566275593097	0.775013681089924	0.849009370958489	0.101854142148411	-0.781049532568106	0.151844822098425	-0.0536842702441329	-0.0533654662107446	-0.489999200473336	-0.350396569762269	-0.0509471427673238	-0.250965302389840	0.507705803682852	-0.0197010611060511	0.864309450700356	-0.906820206883712	0.337503271847760	0.0158395221109990	-0.451045741347701	-0.879670831413375	0.916899233247634	0.150750100681986	-0.354725489165150	0.866111783462454	0.567430476200158	-0.654764423730166	0.404653016141739	-0.844466147902340	-0.0905747479156074	-0.880865176964662
0.782636008971112	-0.832785033237025	-0.405463633329301	-0.588349684049101	-0.883484740970123	0.919827180040397	0.351563817698573	-0.00816839142495507	0.776073464722273	-0.983877994108406	-0.547835698787456	0.0626804004851509	-0.486680387610279	0.177116067980954	-0.557720404508891	0.0310341051835081	-0.0899482785204739	-0.703381858573542	-0.556566099747736	0.251681314640463	-0.919761171725221	0.466957823699121	-0.198306334388801	0.297278014407822	-0.975599351069301	-0.507506505136155	-0.491438161998564	0.816009520941887	0.338989604305136	0.345542345175286
-0.342008710940078	0.106440793811494	0.427282222778914	0.503718495409642	-0.469954783572617	-0.314158557170772	-0.512509112982950	-0.946319848810266	0.876538941142121	-0.606938085478726	-0.00247356095252416	0.545697193877191	-0.0845173355069866	0.344598889177387	0.518261695714482	-0.952396990074452	-0.772795791000063	0.506401144073203	0.601305623497767	-0.602702817222920	-0.549035899157079	0.841476217468057	0.964092339524320	-0.782889712219050	0.317631448596396	0.292941478314843	-0.280809142124591	-0.148450051925749	0.709525579815669	-0.675918168814737

























